;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
25.07.2019;59,0;83,0;59,0;67,0;79,0;67,0;37,0;57,0;39,0;58,0;43,0;50,0;57,0;75,0;50,0;71,0;50,0;57,0;76,0;60,0;33,0;68,0;35,0;36,0
26.07.2019;34,0;42,0;58,0;42,0;52,0;80,0;72,0;58,0;80,0;47,0;42,0;66,0;51,0;42,0;72,0;67,0;58,0;73,0;60,0;58,0;48,0;83,0;68,0;32,0
27.07.2019;78,0;36,0;55,0;52,0;56,0;60,0;46,0;35,0;33,0;43,0;68,0;49,0;34,0;83,0;56,0;74,0;66,0;43,0;32,0;66,0;35,0;39,0;60,0;80,0
28.07.2019;54,0;34,0;78,0;60,0;62,0;66,0;83,0;38,0;74,0;36,0;51,0;67,0;55,0;65,0;76,0;32,0;71,0;44,0;68,0;78,0;44,0;83,0;84,0;53,0
29.07.2019;43,0;50,0;70,0;55,0;51,0;60,0;72,0;72,0;46,0;45,0;84,0;34,0;55,0;54,0;58,0;68,0;41,0;48,0;82,0;49,0;59,0;70,0;60,0;64,0
30.07.2019;35,0;65,0;35,0;70,0;42,0;58,0;52,0;53,0;42,0;39,0;54,0;84,0;69,0;64,0;69,0;41,0;78,0;56,0;64,0;61,0;64,0;50,0;59,0;42,0
31.07.2019;32,0;49,0;77,0;65,0;50,0;33,0;57,0;83,0;70,0;34,0;56,0;63,0;66,0;56,0;31,0;71,0;38,0;41,0;42,0;69,0;51,0;68,0;62,0;82,0
01.08.2019;41,0;72,0;38,0;56,0;72,0;66,0;36,0;75,0;74,0;44,0;82,0;76,0;60,0;35,0;46,0;38,0;49,0;40,0;83,0;64,0;82,0;58,0;44,0;39,0
02.08.2019;36,0;45,0;48,0;33,0;67,0;43,0;61,0;70,0;45,0;59,0;55,0;40,0;58,0;37,0;72,0;81,0;60,0;33,0;75,0;35,0;81,0;66,0;59,0;32,0
03.08.2019;33,0;43,0;56,0;75,0;68,0;37,0;52,0;56,0;71,0;70,0;51,0;68,0;69,0;52,0;79,0;84,0;64,0;46,0;57,0;33,0;58,0;32,0;68,0;66,0
04.08.2019;36,0;64,0;57,0;70,0;33,0;63,0;37,0;60,0;79,0;53,0;80,0;34,0;76,0;83,0;62,0;51,0;56,0;71,0;72,0;48,0;69,0;41,0;32,0;61,0
05.08.2019;54,0;32,0;35,0;55,0;70,0;73,0;79,0;56,0;80,0;79,0;43,0;83,0;84,0;80,0;60,0;33,0;76,0;78,0;41,0;42,0;54,0;42,0;50,0;66,0
06.08.2019;70,0;31,0;79,0;43,0;35,0;31,0;49,0;73,0;74,0;74,0;82,0;73,0;58,0;44,0;65,0;69,0;53,0;60,0;68,0;40,0;47,0;32,0;49,0;81,0
07.08.2019;78,0;39,0;75,0;60,0;60,0;48,0;66,0;44,0;71,0;70,0;66,0;32,0;39,0;45,0;62,0;56,0;33,0;78,0;43,0;40,0;32,0;76,0;68,0;33,0
08.08.2019;55,0;46,0;65,0;49,0;76,0;38,0;75,0;69,0;65,0;73,0;73,0;64,0;53,0;67,0;65,0;44,0;62,0;79,0;62,0;71,0;80,0;45,0;69,0;31,0
09.08.2019;65,0;40,0;41,0;35,0;57,0;61,0;41,0;61,0;79,0;44,0;62,0;40,0;80,0;63,0;75,0;59,0;83,0;56,0;45,0;79,0;83,0;50,0;81,0;70,0
10.08.2019;70,0;57,0;36,0;65,0;62,0;79,0;62,0;63,0;54,0;36,0;33,0;50,0;68,0;33,0;65,0;40,0;80,0;74,0;51,0;36,0;38,0;56,0;76,0;35,0
11.08.2019;58,0;69,0;54,0;66,0;51,0;41,0;44,0;70,0;35,0;68,0;72,0;51,0;36,0;57,0;51,0;81,0;77,0;57,0;31,0;83,0;62,0;74,0;39,0;63,0
12.08.2019;76,0;77,0;44,0;58,0;42,0;64,0;53,0;67,0;45,0;35,0;59,0;61,0;74,0;79,0;33,0;83,0;77,0;43,0;84,0;47,0;69,0;38,0;64,0;39,0
13.08.2019;48,0;39,0;81,0;39,0;42,0;50,0;66,0;35,0;49,0;83,0;81,0;57,0;83,0;55,0;64,0;53,0;34,0;33,0;81,0;80,0;63,0;53,0;73,0;74,0
14.08.2019;52,0;54,0;60,0;44,0;82,0;63,0;46,0;73,0;47,0;74,0;64,0;60,0;79,0;55,0;73,0;36,0;73,0;58,0;51,0;72,0;55,0;75,0;65,0;74,0
15.08.2019;45,0;79,0;63,0;61,0;49,0;82,0;77,0;71,0;40,0;82,0;36,0;61,0;36,0;81,0;31,0;84,0;61,0;77,0;45,0;59,0;52,0;84,0;49,0;35,0
16.08.2019;59,0;59,0;40,0;71,0;52,0;50,0;63,0;68,0;51,0;54,0;66,0;83,0;59,0;63,0;59,0;38,0;52,0;72,0;84,0;45,0;47,0;61,0;57,0;55,0
17.08.2019;44,0;58,0;68,0;55,0;65,0;79,0;77,0;41,0;59,0;36,0;57,0;79,0;53,0;74,0;66,0;81,0;70,0;83,0;53,0;46,0;33,0;35,0;32,0;31,0
18.08.2019;33,0;44,0;68,0;40,0;34,0;60,0;47,0;39,0;66,0;57,0;44,0;75,0;79,0;44,0;73,0;38,0;55,0;51,0;82,0;31,0;39,0;51,0;59,0;66,0
19.08.2019;37,0;49,0;43,0;81,0;56,0;32,0;84,0;55,0;61,0;84,0;48,0;51,0;77,0;62,0;83,0;43,0;42,0;42,0;64,0;38,0;60,0;67,0;45,0;54,0
20.08.2019;69,0;59,0;80,0;32,0;75,0;69,0;50,0;60,0;79,0;36,0;75,0;50,0;76,0;53,0;61,0;52,0;82,0;39,0;48,0;70,0;47,0;61,0;52,0;39,0
21.08.2019;35,0;41,0;48,0;78,0;66,0;70,0;65,0;48,0;69,0;32,0;78,0;32,0;39,0;76,0;33,0;39,0;54,0;37,0;33,0;52,0;40,0;53,0;53,0;48,0
22.08.2019;47,0;42,0;41,0;84,0;61,0;46,0;77,0;59,0;53,0;52,0;49,0;43,0;31,0;36,0;63,0;42,0;81,0;71,0;78,0;74,0;75,0;61,0;49,0;80,0
23.08.2019;47,0;43,0;51,0;78,0;73,0;45,0;59,0;61,0;46,0;81,0;62,0;35,0;84,0;74,0;64,0;42,0;80,0;72,0;63,0;59,0;53,0;41,0;36,0;51,0
24.08.2019;47,0;75,0;53,0;82,0;60,0;49,0;46,0;54,0;65,0;80,0;77,0;41,0;72,0;48,0;40,0;31,0;79,0;45,0;75,0;39,0;45,0;73,0;74,0;57,0
25.08.2019;66,0;60,0;56,0;47,0;35,0;72,0;50,0;61,0;68,0;63,0;60,0;51,0;60,0;64,0;54,0;41,0;39,0;73,0;57,0;49,0;37,0;76,0;75,0;61,0
26.08.2019;66,0;80,0;68,0;32,0;53,0;61,0;51,0;84,0;36,0;33,0;35,0;81,0;65,0;75,0;68,0;60,0;54,0;36,0;52,0;67,0;74,0;81,0;37,0;32,0
27.08.2019;77,0;38,0;37,0;73,0;79,0;60,0;54,0;54,0;36,0;35,0;32,0;83,0;38,0;70,0;50,0;62,0;46,0;32,0;59,0;79,0;76,0;42,0;78,0;80,0
28.08.2019;31,0;49,0;33,0;84,0;38,0;31,0;32,0;71,0;45,0;83,0;76,0;42,0;49,0;44,0;74,0;73,0;61,0;57,0;60,0;65,0;52,0;52,0;62,0;74,0
29.08.2019;71,0;83,0;35,0;68,0;66,0;34,0;76,0;61,0;52,0;65,0;59,0;58,0;48,0;61,0;77,0;74,0;40,0;66,0;52,0;65,0;64,0;47,0;52,0;61,0
30.08.2019;40,0;73,0;67,0;75,0;75,0;32,0;41,0;62,0;71,0;35,0;63,0;66,0;59,0;31,0;40,0;53,0;78,0;36,0;34,0;73,0;40,0;79,0;56,0;68,0
31.08.2019;54,0;34,0;54,0;83,0;82,0;45,0;60,0;42,0;59,0;53,0;40,0;47,0;79,0;69,0;47,0;41,0;64,0;45,0;31,0;52,0;42,0;35,0;33,0;46,0
01.09.2019;73,0;55,0;36,0;72,0;38,0;44,0;52,0;45,0;46,0;71,0;62,0;66,0;39,0;37,0;56,0;53,0;46,0;39,0;72,0;44,0;40,0;67,0;38,0;70,0
02.09.2019;79,0;61,0;78,0;39,0;84,0;33,0;41,0;50,0;46,0;54,0;67,0;40,0;52,0;66,0;44,0;78,0;64,0;73,0;66,0;82,0;63,0;72,0;77,0;37,0
03.09.2019;51,0;72,0;75,0;48,0;31,0;31,0;43,0;79,0;52,0;67,0;41,0;80,0;34,0;34,0;78,0;66,0;66,0;61,0;84,0;83,0;46,0;58,0;45,0;69,0
04.09.2019;78,0;44,0;50,0;43,0;39,0;73,0;54,0;66,0;56,0;32,0;37,0;45,0;70,0;53,0;45,0;67,0;37,0;36,0;81,0;61,0;39,0;33,0;46,0;43,0
05.09.2019;42,0;46,0;56,0;67,0;69,0;55,0;61,0;51,0;63,0;46,0;63,0;57,0;77,0;47,0;80,0;53,0;47,0;34,0;64,0;53,0;74,0;54,0;71,0;52,0
06.09.2019;42,0;69,0;63,0;71,0;70,0;66,0;58,0;77,0;38,0;39,0;62,0;37,0;56,0;83,0;61,0;81,0;83,0;51,0;37,0;31,0;64,0;55,0;34,0;62,0
07.09.2019;55,0;80,0;71,0;74,0;53,0;31,0;38,0;66,0;33,0;76,0;80,0;79,0;81,0;35,0;51,0;39,0;65,0;39,0;47,0;52,0;40,0;47,0;82,0;47,0
08.09.2019;69,0;67,0;66,0;75,0;55,0;77,0;71,0;38,0;48,0;63,0;44,0;66,0;77,0;65,0;82,0;62,0;70,0;38,0;51,0;75,0;53,0;31,0;46,0;39,0
09.09.2019;74,0;41,0;49,0;76,0;59,0;73,0;69,0;76,0;34,0;39,0;71,0;69,0;65,0;59,0;34,0;38,0;37,0;33,0;81,0;58,0;66,0;40,0;48,0;49,0
10.09.2019;42,0;81,0;83,0;67,0;79,0;75,0;79,0;64,0;32,0;53,0;34,0;49,0;66,0;77,0;31,0;57,0;56,0;36,0;82,0;32,0;70,0;39,0;36,0;54,0
11.09.2019;46,0;43,0;60,0;40,0;39,0;79,0;81,0;36,0;80,0;66,0;52,0;78,0;40,0;57,0;38,0;31,0;77,0;68,0;78,0;84,0;82,0;72,0;83,0;49,0
12.09.2019;47,0;35,0;82,0;61,0;41,0;53,0;54,0;57,0;57,0;42,0;63,0;77,0;34,0;77,0;74,0;66,0;68,0;62,0;84,0;74,0;56,0;80,0;60,0;47,0
13.09.2019;49,0;48,0;66,0;47,0;84,0;83,0;63,0;82,0;36,0;56,0;32,0;41,0;54,0;40,0;64,0;49,0;70,0;75,0;80,0;53,0;34,0;39,0;68,0;76,0
14.09.2019;54,0;73,0;80,0;64,0;72,0;39,0;42,0;35,0;60,0;42,0;42,0;64,0;41,0;58,0;80,0;46,0;68,0;75,0;71,0;57,0;58,0;50,0;64,0;48,0
15.09.2019;60,0;44,0;55,0;32,0;46,0;37,0;56,0;47,0;70,0;80,0;50,0;56,0;41,0;44,0;73,0;64,0;49,0;47,0;58,0;34,0;66,0;55,0;51,0;66,0
16.09.2019;70,0;80,0;36,0;38,0;61,0;50,0;73,0;48,0;34,0;46,0;68,0;63,0;40,0;41,0;42,0;66,0;68,0;35,0;72,0;48,0;81,0;80,0;44,0;65,0
17.09.2019;60,0;44,0;57,0;46,0;40,0;35,0;64,0;44,0;49,0;68,0;54,0;60,0;37,0;44,0;51,0;76,0;51,0;50,0;36,0;80,0;48,0;72,0;64,0;50,0
18.09.2019;47,0;45,0;32,0;77,0;56,0;78,0;56,0;64,0;68,0;65,0;40,0;69,0;36,0;37,0;57,0;57,0;48,0;83,0;33,0;68,0;68,0;52,0;77,0;33,0
19.09.2019;36,0;38,0;46,0;63,0;40,0;55,0;66,0;45,0;73,0;51,0;34,0;48,0;46,0;59,0;68,0;33,0;62,0;39,0;52,0;64,0;46,0;46,0;56,0;59,0
20.09.2019;59,0;67,0;40,0;32,0;56,0;57,0;76,0;66,0;40,0;34,0;45,0;77,0;61,0;42,0;66,0;56,0;51,0;39,0;32,0;51,0;35,0;54,0;32,0;60,0
21.09.2019;79,0;73,0;42,0;40,0;43,0;80,0;39,0;41,0;37,0;49,0;70,0;46,0;46,0;52,0;63,0;80,0;82,0;69,0;54,0;33,0;31,0;78,0;32,0;70,0
22.09.2019;59,0;78,0;55,0;66,0;41,0;39,0;35,0;64,0;52,0;65,0;51,0;75,0;62,0;68,0;64,0;75,0;73,0;44,0;59,0;63,0;31,0;81,0;44,0;54,0
23.09.2019;32,0;43,0;71,0;54,0;83,0;32,0;55,0;34,0;67,0;45,0;62,0;68,0;46,0;38,0;77,0;49,0;32,0;38,0;80,0;43,0;32,0;48,0;65,0;82,0
24.09.2019;70,0;54,0;66,0;72,0;78,0;55,0;42,0;66,0;60,0;76,0;31,0;81,0;66,0;45,0;66,0;60,0;69,0;78,0;63,0;45,0;50,0;78,0;31,0;38,0
25.09.2019;31,0;75,0;73,0;37,0;75,0;55,0;72,0;74,0;80,0;75,0;61,0;61,0;45,0;70,0;41,0;38,0;59,0;43,0;35,0;79,0;33,0;84,0;55,0;54,0
26.09.2019;41,0;62,0;81,0;40,0;75,0;79,0;35,0;32,0;73,0;51,0;66,0;43,0;60,0;51,0;43,0;69,0;59,0;35,0;53,0;54,0;55,0;34,0;38,0;59,0
27.09.2019;51,0;38,0;64,0;64,0;54,0;57,0;54,0;49,0;46,0;50,0;32,0;82,0;31,0;76,0;53,0;80,0;80,0;42,0;68,0;42,0;60,0;80,0;66,0;84,0
28.09.2019;34,0;39,0;32,0;48,0;33,0;41,0;58,0;46,0;63,0;54,0;51,0;67,0;61,0;44,0;73,0;42,0;84,0;42,0;52,0;57,0;64,0;68,0;35,0;34,0
29.09.2019;71,0;60,0;84,0;66,0;57,0;34,0;40,0;60,0;38,0;55,0;36,0;42,0;41,0;35,0;33,0;52,0;74,0;76,0;81,0;34,0;74,0;58,0;82,0;81,0
30.09.2019;65,0;5,0;65,0;45,0;34,0;7,0;5,0;45,0;73,0;34,0;64,0;72,0;46,0;23,0;67,0;85,0;86,0;46,0;43,0;34,0;23,0;54,0;34,0;56,0
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
